Fish,Sex,Date,Origin,GnRH,Age,Spawner,Maturity,Plasmaprotein ,Totallength,Growthrate,Meangrowthrate,Totalweight,Condition,Gonadosomatic index,B.Li,B.K,B.Mg,B.Ca,B.Sr,B.Ba,B.Mn,B.Cu,B.Zn,B.Li.Ca,B.K.Ca,B.Mg.Ca,B.Sr.Ca,B.Ba.Ca,B.Mn.Ca,B.Cu.Ca,B.Zn.Ca,Sal,Temp,SW.Li,SW.K,SW.Mg,SW.Ca,SW.Sr,SW.Ba,SW.Mn,SW.Cu,SW.Zn,SW.Li.Ca,SW.K.Ca,SW.Mg.Ca,SW.Sr.Ca,SW.Ba.Ca,SW.Mn.Ca,SW.Cu.Ca,SW.Zn.Ca,Opacity,Otolithgrowthrate,Meanotolithgrowthrate,O.Li,O.K,O.Mg,O.Sr,O.Ba,O.Mn,O.Cu,O.Zn,O.Li.Ca,O.K.Ca,O.Mg.Ca,O.Sr.Ca,O.Ba.Ca,O.Mn.Ca,O.Cu.Ca,O.Zn.Ca
FD97D,M,02/06/2009,IS,Non-treated,4,S,M,2.956,21.1,0,0.052631579,77,0.81,NA,61.89,79784.73,32818.84,105989.38,1067.07,11.77,9.05,408.98,11049.49,3.37,771.63,510.59,4.61,0.0324,62.32,2.43,63.9,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,0,0.22,0.51,0.24,586.92,10.47,3756.11,3.39,435.47,179.92,152.85,0.0034,1.5,0.043,4.29,2.47,0.79,0.28,0.23
FD97D,M,08/07/2009,IS,Non-treated,4,S,M,2.956,21.1,0,0.052631579,82,0.87,NA,65.73,28208.98,27137.18,111729.76,1159.84,9.22,14.6,485.34,12217.77,3.4,258.8,400.5,4.75,0.0241,95.3,2.74,67.02,32.15,13.33,0.161,352.65,1170.67,365.91,6.64,0.017,0.66,0.0069,0.0052,2.55,987.88,5275.71,8.3,0.0135,1.32,0.012,0.0087,0,0.22,0.51,0.22,592.89,8.51,3788.7,3.31,421.75,215.57,340.72,0.0032,1.52,0.035,4.33,2.41,0.77,0.34,0.52
FD97D,M,06/08/2009,IS,Non-treated,4,S,M,2.64,21.4,0.103448276,0.052631579,69,0.7,NA,57.24,130504.29,24227.74,115827.65,1089.46,46.78,16.75,641.94,12554.69,2.85,1154.95,344.91,4.3,0.1179,105.5,3.5,66.43,32.37,13.67,0.164,360.78,1195.75,375.17,6.78,0.018,0.6,0.007,0.0057,2.53,985.68,5255.3,8.27,0.0143,1.18,0.0118,0.0093,0,0.22,0.51,0.22,602.6,8.32,3342.02,3.2,431.44,171.82,155.26,0.0032,1.54,0.034,3.82,2.33,0.79,0.27,0.24
FD97D,M,26/10/2009,IS,Non-treated,4,S,M,3.224,21.6,0.024691358,0.052631579,90,0.89,NA,58.45,54173.81,28860.05,121373.05,1091.32,15.15,12.83,752.09,13678.92,2.78,457.53,392.09,4.11,0.0364,77.1,3.91,69.08,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,1,1.09,0.51,0.27,673.07,7.52,3191.91,2.84,335.97,154.03,142.99,0.0039,1.72,0.031,3.64,2.07,0.61,0.24,0.22
FD97D,M,23/11/2009,IS,Non-treated,4,S,M,3.932,22.1,0.178571429,0.052631579,103,0.95,NA,47.83,69122.21,25754.58,109866.38,859.69,12.53,12.4,761.84,10590.99,2.51,644.92,386.54,3.58,0.0333,82.37,4.37,59.08,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,1,0.16,0.51,0.28,692.84,6.72,3225.83,2.69,265.58,129.4,145.18,0.004,1.77,0.028,3.68,1.96,0.48,0.2,0.22
FD97D,M,16/12/2009,IS,Non-treated,4,S,M,3.809,22.3,0.086956522,0.052631579,115,1.04,NA,68,22016.66,37432.32,146108.42,1176.93,4.16,12.39,957.04,13612.35,2.69,154.46,422.46,3.68,0.0083,61.88,4.13,57.1,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,1,0.16,0.51,0.28,708.23,6.31,3310.05,3.05,195.05,134.71,170.61,0.0041,1.81,0.026,3.78,2.22,0.36,0.21,0.26
FD97D,M,18/01/2010,IS,Non-treated,4,S,M,3.347666667,22.6,0.090909091,0.052631579,114,0.99,NA,62.16,20327.55,27022.31,131298.7,1047.05,7.17,15.03,709.94,11430.76,2.73,158.7,339.37,3.65,0.0159,83.48,3.41,53.36,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,1,0.32,0.51,0.3,743.6,7.99,3374.63,3.64,165.45,157.56,218.9,0.0044,1.9,0.033,3.85,2.65,0.3,0.25,0.33
FD97D,M,15/02/2010,IS,Non-treated,4,S,M,3.042,23,0.142857143,0.052631579,121,0.99,NA,51.94,22662.49,26406.65,129914.57,1034.14,11.51,16.1,656.31,11556.73,2.31,178.81,335.17,3.64,0.0259,90.43,3.19,54.52,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,1,0.32,0.51,0.32,765.4,10.16,3243.23,3.54,291.21,167.83,247.23,0.0046,1.96,0.042,3.7,2.58,0.53,0.26,0.38
FD97D,M,15/03/2010,IS,Non-treated,4,S,M,3.462,23,0,0.052631579,125,1.03,NA,55.13,27404.34,32128.28,130332.84,1017.13,8.27,14.46,746.69,14605.54,2.44,215.53,406.48,3.57,0.0185,80.92,3.61,68.68,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,1,0.46,0.51,0.31,771.17,10.92,2898.32,2.61,582.85,156.49,235.88,0.0045,1.97,0.045,3.31,1.9,1.06,0.25,0.36
FD97D,M,19/04/2010,IS,Non-treated,4,S,M,3.635,23,0,0.052631579,126,1.04,NA,62.72,38331.98,26796.71,125566.82,866.29,5.52,12.02,622.53,12902.12,2.88,312.92,351.9,3.16,0.0128,69.81,3.13,62.98,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,0.72,0.51,0.3,789.13,12.24,2794.55,2.58,740.81,155.01,134.41,0.0043,2.02,0.05,3.19,1.88,1.35,0.24,0.21
FD97D,M,28/05/2010,IS,Non-treated,4,S,M,3.338,23,0,0.052631579,129,1.06,NA,60.26,6192.44,22621.85,131598.15,913.07,10.74,20.35,629.73,13454.35,2.64,48.34,283.52,3.18,0.0238,112.77,3.02,62.71,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,1.04,0.51,0.3,772.68,NA,2843.11,3.33,784.94,110.83,NA,0.0043,1.98,NA,3.25,2.42,1.43,0.17,NA
