Year,MigDay,S1997,F,FP,Temp,Umar,Uap,Umay,WRI,PDO,NPGO,NPI,D4,S4,F4,FP4,T4,Umar4,Uap4,Umay4,WRI4,PDO4,NPGO4,NPI4,cumS4,D.sd,betaS
1976,182,0,294.7533333,135,14.79215474,-10,0,21,0.7800435,-1.188333333,1.975,11.3,-5,-1,-248.4466667,-36,0.375689547,15,1,-13,0.0116905,0.645,2.61,-2.36666667,-2,9.878907,0
1977,177,-3,130.5766667,147,17.32579334,8,1,9,0.2434385,0.885,1.795,9.083333333,-5,-1,-14.2433333,54,0.516609667,9,-42,-16,-0.297474,1.443333333,2.04,-2.416666667,-4,7.534817,-0.398151674
1978,178,0,244.7566667,161,15.71924544,-1,-1,28,0.5117836,0.771666667,1.02,8.616666667,-8,0,-223.1466666,-12,0.87943514,36,-3,2,0.0180892,1.66,1.27,-1.466666663,-7,9.151349,0
1979,182,-2,179.1566667,131,16.45074368,0,6,34,0.5269557,-0.01,-0.88,11.78333333,-2,0,-149.0133333,-6,1.352336185,1,-29,8,0.1096539,0.74,-1.785,-0.38333334,-1.4,11.301256,-0.17697148
1980,186,-1,287.92,170,15.49933333,1,-7,52,0.5046433,0.761666667,-1.15,8.633333333,4,0,-6.8333333,35,0.707178597,11,-7,31,-0.2754002,1.95,-3.125,-2.666666667,-2,7.730603,-0.129356015
1981,179,0,359.28,161,15.68633333,-14,0,12,0.598952,1.023333333,-0.56,7.083333333,2,-3,228.7033333,14,-1.639460005,-22,-1,3,0.3555135,0.138333333,-2.355,-2,-7,7.013942,0
1982,183,0,371.3,175,15.96266667,-5,-2,79,0.462285,0.105,-0.665,13.11666667,5,0,126.5433333,14,0.243421228,-4,-1,51,-0.0494986,-0.666666667,-1.685,4.500000003,-7,9.162651,0
1983,181,-1,292.8466667,153,16.92666667,-95,3,35,0.3231163,1.29,-0.035,6.666666667,-1,-2,113.69,22,0.475922983,-95,-3,1,-0.2038394,1.3,0.845,-5.116666663,-3.4,8.370602,-0.119465721
1984,177,0,354.9033333,152,15.22166667,-33,-8,-2,0.7429876,1.498333333,0.485,9.583333333,-9,-1,66.9833333,-18,-0.277666667,-34,-1,-54,0.2383443,0.736666666,1.635,0.95,-3,8.932544,0
1985,177,-3,198.75,126,17.37066667,-5,5,15,0.5134593,0.631666667,0.25,12.53333333,-2,0,-160.53,-35,1.684333333,9,5,3,-0.0854927,-0.391666666,0.81,5.449999997,-7,8.698723,-0.344878208
1986,183,-3,257.2933333,155,17.80766667,-36,13,1,0.3493613,1.333333333,-1.195,7.466666667,0,0,-114.0066667,-20,1.845,-31,15,-78,-0.1129237,1.228333333,-0.53,-5.650000003,-7,10.734659,-0.279468589
1987,179,-6,150.8233333,130,17.15866667,-38,-1,23,0.5742257,1.918333333,0.415,7.8,-2,-1,-142.0233334,-23,0.232,57,-4,-12,0.2511094,0.628333333,0.45,1.133333333,-4.4,9.305426,-0.644785096
1988,181,-3.6,172.7433333,153,16.24008333,-9,0,-6,0.6909328,1.166666667,1.415,9.683333333,4,0,-182.16,1,1.018416667,24,8,-4,-0.0520548,-0.331666666,0.93,0.1,-3,8.941497,-0.402617146
1989,180,-1.8,194.9733333,131,17.04666667,-59,1,26,0.4276231,-0.513333333,1.03,13.7,3,-3,-3.7766667,5,-0.324,-54,-4,11,-0.0858362,-1.145,0.78,1.16666667,-10,9.995482,-0.180081361
1990,182,-2,307.5233333,160,15.69866667,-4,11,9,0.1723716,-0.178333333,0.125,11.8,-1,-3,50.23,5,-2.109,32,-2,8,-0.1769897,-1.511666666,1.32,4.333333333,-10,8.449493,-0.236700593
1991,188,-3,278.8966667,145,15.05333333,1,7,51,0.4425448,-1.283333333,-0.75,10.91666667,9,-6,128.0733334,15,-2.105333333,39,8,28,-0.1316809,-3.201666666,-1.165,3.11666667,-10.4,8.509736,-0.352537376
1992,180,-5.2,186.9,143,18.351,4,-11,66,0.6136866,0.568333333,-0.865,8.966666667,-1,-3.6,14.1566667,-10,2.110916667,13,-11,72,-0.0772462,-0.598333334,-2.28,-0.716666666,-6.8,9.792824,-0.531001068
1993,179,-1,228.409,138,16.325,-35,-64,-4,0.425019,0.811666667,-2.135,9.35,-1,-1.8,33.4356667,7,-0.721666667,24,-65,-30,-0.0026041,1.325,-3.165,-4.35,-11.8,9.144366,-0.109356953
1994,176,0,194.9833333,166,16.98566667,-7,4,22,0.1517857,0.991666667,-1.935,10.91666667,-6,-2,-112.54,6,1.287,-3,-7,13,-0.0205859,1.17,-2.06,-0.88333333,-12,7.508789,0
