CTL	Weight	Sex	
34.2	8.5	2	
39.1	10.5	2	
53.8	39.5	1	
52.8	36.5	2	
51.5	25.5	1	
50.2	26.5	2	
43.0	19.5	2	
38.1	13.5	2	
36.5	9.5	2	
38.6	12.0	1	
45.9	18.0	1	
34.8	8.5	2	
41.3	17.5	2	
41.9	16.5	2	
46.0	18.5	2	
34.5	9.5	1	
34.8	10.0	2	
30.7	6.5	1	
45.3	22.5	2	
51.0	30.5	2	
53.9	35.5	2	
46.5	21.0	2	
55.5	31.5	2	
42.9	18.5	2	
40.0	15.5	2	
43.8	17.5	1	
35.3	9.5	2	
27.8	4.0	1	
32.5	8.0	2	
