Plot	Longitude	Latitude	CR_CAN 	CR_LP	Elevation	INTRA_VAR	INTER_VAR	MAT	MAP	RSI	ASR	Easterness	Age 	Macro	Northerness	Slope	TCI	SR	nSIE	nAE	pSIE	pAE
SV010	212203.5	3178688.6	2778	303	704.2	1.68	0.35	16.55	459.09	0.774	1551820	-0.514	1.08	-0.822	-0.858	12.5	1.08	17	3	10	17.6	58.8
SV011	213103.5	3178488.6	1130	204	871.2	1.76	0.37	15.67	547.06	0.768	1581880	-0.635	1.08	-0.658	-0.773	20.6	1.13	18	2	10	11.1	55.6
SV012	214003.5	3178788.6	629	96	1106	1.6	0.36	14.61	630.71	0.772	1555170	-0.179	1.08	-0.499	-0.984	19.3	1.05	8	1	5	12.5	62.5
SV013	214303.5	3179188.6	629	96	1127.2	1.59	0.36	14.43	689.06	0.771	1477180	0.187	0.78	-0.478	-0.982	20.6	1.19	14	2	9	14.3	64.3
SV014	214103.5	3180388.6	585	93	1192.8	1.55	0.35	13.99	727.43	0.783	1464010	0.012	0.78	-0.637	-1.000	25.4	1.30	18	4	12	22.2	66.7
SV015	213503.5	3180388.6	651	92	1129.5	1.69	0.35	14.52	674.22	0.773	1622880	-0.588	1.08	-0.727	-0.809	19.7	1.15	9	1	8	11.1	88.9
SV016	213203.5	3180488.6	769	106	1065.6	1.63	0.34	14.94	643.96	0.773	1566720	-0.206	1.08	-0.760	-0.979	15.5	1.27	21	3	16	14.3	76.2
SV017	212403.5	3181188.6	767	82	1060.9	1.74	0.34	14.74	610.89	0.770	1581500	-0.549	1.08	-0.787	-0.836	25.0	1.24	9	2	6	22.2	66.7
SV018	212403.5	3181488.6	726	59	1140.4	1.57	0.33	14.53	685.63	0.780	1418510	0.000	1.08	-0.786	-1.000	31.3	1.40	14	1	11	7.1	78.6
SV019	212303.5	3181688.6	767	82	1071	1.68	0.33	14.62	642.68	0.771	1583160	-0.824	1.08	-0.794	-0.566	30.9	1.26	16	3	10	18.8	62.5
SV020	212203.5	3182288.6	571	69	1228.2	1.59	0.32	14.17	706.32	0.781	1565690	0.124	1.08	-0.793	-0.992	14.2	1.15	8	3	7	37.5	87.5
SV021	212803.5	3182688.6	463	20	1376.8	1.59	0.32	13.32	707.26	0.785	1634790	-0.287	1.08	-0.733	-0.958	14.9	1.08	8	0	6	0.0	75.0
SV022	213703.5	3183188.6	216	22	1573.7	1.43	0.34	12.5	756.98	0.800	1464040	0.777	1.08	-0.670	-0.629	19.5	1.22	17	4	11	23.5	64.7
SV023	214303.5	3183888.6	236	14	1690.6	1.49	0.34	11.92	822.86	0.800	1639530	0.010	1.08	-0.627	-1.000	16.1	1.12	4	3	4	75.0	100.0
SV024	214503.5	3183888.6	199	21	1739.7	1.48	0.34	11.73	759.55	0.805	1630080	0.210	1.08	-0.623	-0.978	14.6	1.07	7	3	6	42.9	85.7
SV025	215103.5	3183688.6	119	25	1892.4	1.44	0.36	11	817.98	0.818	1686400	0.292	1.08	-0.600	-0.956	10.2	1.11	8	3	6	37.5	75.0
SV026	215903.5	3183588.6	159	23	2001.5	1.55	0.37	10.47	730.22	0.815	1785660	-0.598	1.08	-0.516	-0.802	10.5	1.07	3	1	3	33.3	100.0
SV027	216103.5	3183588.6	92	12	2061.3	1.55	0.38	10.2	782.85	0.819	1757900	-0.412	1.08	-0.468	-0.911	18.9	1.03	3	1	3	33.3	100.0
SV028	216303.5	3183488.6	174	13	2106.7	1.46	0.38	10.06	716.17	0.826	1743680	-0.124	1.08	-0.422	-0.992	14.9	1.01	1	1	1	100.0	100.0
SV029	215403.5	3183688.6	89	19	1940.8	1.45	0.36	10.8	749.78	0.820	1663550	0.765	1.08	-0.588	-0.644	9.1	1.16	9	3	9	33.3	100.0
SV030	213603.5	3184688.6	410	34	1458.3	1.4	0.32	12.82	827.02	0.794	1488340	0.635	1.08	-0.561	-0.773	17.1	1.14	4	1	4	25.0	100.0
SV031	213303.5	3185088.6	405	60	1381.2	1.35	0.33	13.46	810.25	0.790	1464460	0.996	1.08	-0.521	-0.091	15.2	1.14	4	2	4	50.0	100.0
SV032	213003.5	3185388.6	479	76	1263.6	1.34	0.32	13.95	776.12	0.783	1468130	0.880	1.08	-0.500	-0.476	14.7	1.16	10	4	8	40.0	80.0
SV033	213103.5	3186588.6	367	93	1210.7	1.48	0.3	14.18	738.35	0.772	1588030	0.070	1.08	-0.364	-0.998	11.2	1.06	3	1	3	33.3	100.0
SV034	213003.5	3187088.6	404	104	1171.4	1.37	0.31	14.51	736.43	0.776	1579620	0.281	1.08	-0.309	-0.960	8.4	1.14	11	1	4	9.1	36.4
SV035	211003.5	3186788.6	518	169	865	1.36	0.3	15.97	572.21	0.770	1426440	0.929	1.08	-0.380	-0.370	12.8	1.16	10	1	4	10.0	40.0
SV037	210603.5	3181488.6	2436	216	730.9	1.77	0.33	16.44	465.74	0.770	1573470	-0.685	1.08	-0.843	-0.729	18.2	1.12	13	2	7	15.4	53.8
SV038	226303.5	3187888.6	304	304	653.1	1.3	0.28	16.68	806.97	0.715	1081950	0.737	0.78	0.542	-0.676	29.4	1.89	17	4	9	23.5	52.9
SV039	226103.5	3187388.6	236	236	589	1.31	0.29	16.72	806.59	0.715	1035850	0.656	0.78	0.548	-0.755	15.1	1.71	13	0	4	0.0	30.8
SV040	225803.5	3187388.6	128	128	725.2	1.25	0.28	15.72	935.73	0.682	1077830	0.512	0.78	0.517	0.859	35.0	1.55	22	3	9	13.6	40.9
SV041	225903.5	3187288.6	195	195	736.7	1.23	0.28	15.87	966.18	0.684	1235610	0.418	0.78	0.533	0.909	24.8	1.47	15	4	7	26.7	46.7
SV042	225403.5	3186988.6	168	168	784.5	1.35	0.29	15.94	904.41	0.704	943318	0.940	0.78	0.484	-0.342	26.8	1.28	17	2	6	11.8	35.3
SV043	225103.5	3186588.6	157	157	883.4	1.34	0.29	15.62	999.28	0.700	1288290	0.373	1.77	0.491	0.928	9.2	1.46	11	0	1	0.0	9.1
SV044	224803.5	3186288.6	56	56	996.6	1.3	0.29	14.44	1162.36	0.688	1061960	0.228	1.77	0.496	0.974	41.8	1.46	26	5	12	19.2	46.2
SV045	224803.5	3186188.6	56	56	1043.1	1.34	0.29	14.49	1083.06	0.691	1292370	-0.170	1.77	0.500	0.985	33.6	1.59	25	5	13	20.0	52.0
SV046	224603.5	3186088.6	96	96	1024.5	1.33	0.3	14.29	1182.28	0.682	1321710	0.075	1.77	0.507	0.997	13.1	1.33	22	2	12	9.1	54.5
SV047	224303.5	3186288.6	53	53	1204.5	1.2	0.3	14.07	1045.23	0.692	1433880	-0.559	0.78	0.492	0.829	39.3	1.74	32	5	19	15.6	59.4
SV048	224103.5	3186088.6	79	79	1174.1	1.26	0.3	13.8	1158.55	0.687	1477120	-0.274	0.78	0.504	0.962	16.3	1.87	21	3	10	14.3	47.6
SV049	224103.5	3185988.6	70	70	1221.3	1.31	0.3	13.99	1153.98	0.701	1165900	0.952	1.77	0.510	0.307	26.3	1.35	24	4	12	16.7	50.0
SV050	223503.5	3185588.6	52	52	1401.3	1.26	0.32	12.52	1174.65	0.700	820875	0.996	1.77	0.518	0.092	37.7	1.49	19	4	11	21.1	57.9
SV051	225703.5	3186988.6	203	203	784.8	1.27	0.29	15.94	917.62	0.701	688432	0.963	0.78	0.510	0.271	47.6	1.59	19	3	10	15.8	52.6
SV052	215503.5	3176588.6	327	321	206.3	1.61	0.42	18.95	323.1	0.789	1378340	-0.974	4	-0.317	-0.225	4.3	1.03	18	2	9	11.1	50.0
SV053	215203.5	3176488.6	327	321	224.3	1.65	0.45	18.84	284.54	0.768	1358840	-0.617	4	-0.328	0.787	23.2	1.31	16	1	6	6.3	37.5
SV054	215103.5	3176288.6	174	174	193.8	1.73	0.44	19	274.64	0.772	1363090	-0.997	4	-0.339	0.075	2.1	1.13	21	3	9	14.3	42.9
SV055	215003.5	3176188.6	327	321	182	1.77	0.43	19.06	280.47	0.779	1360470	-0.909	4	-0.346	-0.416	5.4	1.11	28	2	13	7.1	46.4
SV056	215603.5	3176788.6	327	321	224.4	1.67	0.44	18.67	321.29	0.762	1386260	-0.849	4	-0.303	0.528	21.7	1.20	16	3	9	18.8	56.3
SV057	215903.5	3177288.6	379	358	350.8	1.59	0.44	18.13	361.9	0.753	1390880	-0.706	4	-0.263	0.708	25.9	1.37	19	2	8	10.5	42.1
SV058	215203.5	3176988.6	373	311	442.3	1.62	0.43	17.85	382.72	0.755	1477550	-0.700	1.77	-0.305	0.714	21.1	1.11	17	3	10	17.6	58.8
SV059	215303.5	3177488.6	222	204	509.2	1.6	0.42	17.44	399.87	0.748	1507470	-0.894	4	-0.288	0.448	24.1	1.22	13	1	5	7.7	38.5
SV060	215703.5	3178088.6	428	121	659.8	1.57	0.41	16.61	477.48	0.748	1524810	-0.860	4	-0.277	0.511	23.0	1.27	17	2	9	11.8	52.9
SV061	216303.5	3178288.6	127	127	718.6	1.55	0.41	16.67	519.35	0.743	1537930	-0.977	1.77	-0.196	0.213	32.3	1.12	5	1	3	20.0	60.0
SV062	216103.5	3178388.6	115	101	770.2	1.6	0.4	16.19	576.65	0.745	1562690	-0.994	1.77	-0.214	0.108	29.2	1.22	7	1	5	14.3	71.4
SV063	215903.5	3178688.6	280	140	896.1	1.56	0.39	15.4	628.79	0.748	1537010	-0.965	1.77	-0.236	-0.262	23.8	1.13	12	3	7	25.0	58.3
SV064	216203.5	3179088.6	306	95	996.7	1.54	0.39	15.01	640.38	0.747	1586410	-0.759	4	-0.180	0.651	17.6	1.30	16	3	11	18.8	68.8
SV065	216603.5	3179488.6	249	90	1028.2	1.53	0.39	14.14	719.77	0.745	1600010	-0.994	4	-0.130	-0.111	24.2	1.31	21	5	14	23.8	66.7
SV066	216003.5	3179288.6	160	57	1195.8	1.55	0.4	13.87	718.16	0.750	1335110	-0.625	0.78	-0.207	0.780	52.3	2.91	24	4	17	16.7	70.8
SV067	215503.5	3176388.6	327	321	247.5	1.47	0.43	18.84	301.29	0.787	1156610	0.916	1.08	-0.326	-0.402	20.1	1.22	24	1	10	4.2	41.7
SV068	215303.5	3176188.6	379	358	260	1.48	0.41	18.36	325.76	0.780	962098	0.782	1.08	-0.346	-0.624	34.1	1.20	24	3	13	12.5	54.2
SV069	215503.5	3176088.6	373	311	378.7	1.48	0.42	18.17	361.39	0.780	1119930	0.882	4	-0.344	-0.471	24.4	1.26	25	3	14	12.0	56.0
SV070	214803.5	3175488.6	211	211	460.2	1.52	0.41	17.72	370.61	0.780	1155090	0.657	0.56	-0.380	-0.754	29.3	1.27	19	3	10	15.8	52.6
SV071	214203.5	3172588.6	360	350	237.6	1.72	0.42	18.82	278.54	0.786	1460330	-0.324	0.126	-0.678	-0.946	8.9	1.04	11	0	4	0.0	36.4
SV072	214803.5	3172588.6	2520	811	327.5	1.92	0.45	18.36	317.4	0.779	1529770	-0.964	0.126	-0.753	0.267	11.6	1.11	15	2	6	13.3	40.0
SV073	229003.5	3188288.6	360	360	372.6	1.3	0.27	18.14	708.49	0.685	1367030	0.617	1.08	0.661	0.787	14.6	1.08	16	3	6	18.8	37.5
SV074	228903.5	3187788.6	423	423	419.1	1.31	0.28	17.91	724.21	0.682	1387130	0.559	1.08	0.644	0.829	13.8	1.10	18	2	6	11.1	33.3
SV075	228703.5	3187488.6	326	326	522.6	1.29	0.27	17.4	753.07	0.681	1429830	0.181	1.08	0.626	0.984	16.1	1.19	17	3	5	17.6	29.4
SV076	228303.5	3187688.6	215	215	557.9	1.31	0.27	17.08	849.07	0.685	1382280	0.872	1.08	0.609	0.489	12.5	1.23	21	4	6	19.0	28.6
SV077	228003.5	3187988.6	184	184	607	1.3	0.27	16.88	860.33	0.679	1459990	0.216	1.08	0.598	0.976	13.1	1.05	13	0	2	0.0	15.4
SV078	227803.5	3187688.6	162	162	664	1.33	0.27	16.66	921.21	0.694	1408870	0.581	1.08	0.575	0.814	15.2	1.17	15	1	3	6.7	20.0
SV079	227903.5	3187288.6	178	178	691.8	1.34	0.27	16.45	955.28	0.688	1458430	0.843	1.08	0.592	0.537	7.3	1.15	15	2	4	13.3	26.7
SV080	227603.5	3187188.6	218	218	723.4	1.32	0.27	16.2	1004.15	0.679	1225320	0.855	1.08	0.566	0.518	20.9	1.20	19	1	2	5.3	10.5
SV081	227603.5	3187288.6	238	238	735.6	1.28	0.27	16.1	1024	0.677	1497340	-0.286	1.08	0.561	0.958	17.1	1.20	16	1	4	6.3	25.0
SV082	227203.5	3187288.6	103	103	835.8	1.33	0.27	15.72	1028.91	0.682	1518890	0.094	1.08	0.531	0.996	8.3	1.14	16	1	2	6.3	12.5
SV083	228003.5	3187188.6	238	238	720.8	1.33	0.27	16.39	908.63	0.683	1362680	0.984	1.08	0.598	0.181	15.3	1.07	15	1	5	6.7	33.3
SV084	227703.5	3186988.6	229	229	824.3	1.27	0.27	15.88	999.68	0.674	1609150	-0.885	1.08	0.582	0.466	20.8	1.21	19	2	5	10.5	26.3
SV085	227203.5	3186888.6	162	162	926.2	1.3	0.27	15.28	1103.2	0.679	1432010	0.632	1.08	0.535	0.775	16.3	1.32	15	2	4	13.3	26.7
SV086	227203.5	3186788.6	108	108	929.1	1.25	0.27	15.24	1141.4	0.677	1605120	-0.806	1.08	0.534	0.592	24.0	1.06	20	3	9	15.0	45.0
SV087	227103.5	3186888.6	77	77	937.1	1.34	0.27	15.27	1088.63	0.683	1471530	0.661	1.08	0.528	0.750	12.6	1.25	20	2	8	10.0	40.0
SV088	226803.5	3186888.6	168	168	1003.5	1.31	0.28	14.88	1160.3	0.681	1407390	0.423	1.08	0.524	0.906	22.3	1.17	20	2	6	10.0	30.0
SV089	226603.5	3186788.6	78	78	1056.3	1.28	0.28	14.72	1212.8	0.677	1638970	-0.893	1.08	0.526	0.451	23.9	1.09	15	2	4	13.3	26.7
SV090	226103.5	3186588.6	72	72	1158.9	1.3	0.28	14.21	1228.16	0.680	1577150	-0.388	0.78	0.509	0.922	21.9	1.20	19	2	6	10.5	31.6
SV091	225603.5	3186188.6	47	47	1300.1	1.34	0.29	13.56	1233.21	0.703	1524550	0.763	0.78	0.522	0.647	11.7	1.24	20	3	7	15.0	35.0
SV092	225703.5	3185788.6	34	34	1320.6	1.34	0.29	13.46	1202.09	0.693	1206030	0.889	0.78	0.542	0.459	27.3	1.25	25	4	11	16.0	44.0
SV093	220203.5	3176288.6	532	79	1279.3	1.64	0.38	13.91	823.39	0.754	1712570	-1.000	0.56	-0.262	0.028	15.0	1.15	4	1	3	25.0	75.0
SV094	219603.5	3176288.6	367	93	1297.5	1.63	0.39	13.77	805.81	0.752	1719200	-0.991	0.56	-0.227	0.137	17.8	1.22	4	1	2	25.0	50.0
SV095	219403.5	3176288.6	367	93	1292.2	1.61	0.39	13.8	841.98	0.751	1717070	-1.000	0.56	-0.231	0.021	22.5	1.31	8	2	5	25.0	62.5
SV096	219103.5	3176288.6	172	57	1242.5	1.6	0.38	13.92	780.91	0.755	1673870	-0.847	0.56	-0.264	-0.531	21.2	1.47	11	3	7	27.3	63.6
SV097	220403.5	3174588.6	657	152	903.9	1.77	0.38	15.58	714.88	0.753	1639990	-0.998	0.56	-0.488	-0.070	14.4	1.17	7	1	3	14.3	42.9
SV098	220403.5	3174888.6	615	141	961.6	1.73	0.4	15.33	727.28	0.751	1631500	-0.861	0.56	-0.446	0.509	13.1	1.05	4	1	3	25.0	75.0
SV099	219703.5	3173788.6	813	225	822	1.81	0.39	16	630.85	0.757	1608850	-0.921	0.56	-0.566	-0.391	10.0	1.01	6	1	2	16.7	33.3
SV100	219603.5	3174188.6	1130	204	856.4	1.77	0.37	15.86	690.02	0.761	1611950	-0.828	0.56	-0.550	-0.561	12.0	1.06	7	0	1	0.0	14.3
SV101	219603.5	3174788.6	615	141	949.5	1.71	0.41	15.36	718.47	0.757	1588760	-0.555	0.56	-0.468	0.832	11.3	1.06	5	1	2	20.0	40.0
SV102	219303.5	3175288.6	615	141	974.9	1.72	0.38	15.26	719.07	0.757	1621950	-0.814	0.56	-0.414	-0.581	16.1	1.34	19	2	10	10.5	52.6
SV103	221003.5	3156588.6	1130	204	819.9	1.63	0.31	16.01	537.58	0.763	1602020	-0.839	0.126	-0.538	-0.545	9.8	1.06	14	3	8	21.4	57.1
SV104	220803.5	3157388.6	932	159	890.9	1.56	0.3	15.58	561.09	0.769	1578200	-0.480	0.126	-0.605	-0.877	15.6	1.04	10	4	6	40.0	60.0
SV105	220403.5	3158588.6	1048	104	887.6	1.58	0.3	15.67	564.4	0.775	1536130	-0.216	0.126	-0.733	-0.976	16.8	1.04	14	3	8	21.4	57.1
SV106	220103.5	3159488.6	1523	162	870.7	1.59	0.3	15.58	558.71	0.776	1502950	-0.017	0.126	-0.797	-1.000	16.5	1.05	22	6	14	27.3	63.6
SV107	219603.5	3160188.6	1706	54	783.7	1.63	0.31	16.15	509.58	0.776	1507260	-0.215	0.126	-0.888	-0.977	19.1	1.11	13	3	8	23.1	61.5
SV108	222003.5	3157088.6	318	132	1008.3	1.57	0.31	15.19	695.23	0.755	1608540	-0.810	0.126	-0.182	-0.586	3.7	1.02	5	1	4	20.0	80.0
SV109	221503.5	3157788.6	431	109	1057	1.62	0.32	14.91	634.5	0.760	1646500	-0.963	0.126	-0.377	-0.269	8.1	1.03	3	1	3	33.3	100.0
SV110	221003.5	3158188.6	872	92	1089.6	1.52	0.3	14.65	696.29	0.781	1588040	-0.375	0.126	-0.557	-0.927	18.3	1.14	14	6	13	42.9	92.9
SV111	221003.5	3159188.6	613	72	1122.4	1.57	0.31	14.42	713.36	0.772	1512570	-0.339	0.126	-0.550	-0.941	28.6	1.28	9	2	6	22.2	66.7
SV112	221103.5	3160088.6	478	62	1259.4	1.52	0.31	13.88	744.73	0.784	1552750	0.122	0.126	-0.546	-0.993	16.3	1.05	7	2	6	28.6	85.7
SV113	220803.5	3160788.6	531	65	1194.3	1.6	0.31	14.08	735.76	0.783	1611270	-0.294	0.126	-0.677	-0.956	12.8	1.05	3	1	3	33.3	100.0
SV114	220903.5	3161788.6	585	93	1203.3	1.54	0.31	14.11	766.13	0.790	1522240	0.225	0.0005	-0.677	-0.974	17.0	1.10	5	1	5	20.0	100.0
SV115	221303.5	3158988.6	532	79	1206.9	1.6	0.31	14	685.81	0.773	1623670	-0.483	0.126	-0.443	-0.875	18.3	1.09	3	1	3	33.3	100.0
SV116	221603.5	3159588.6	208	63	1404.3	1.63	0.33	13.16	800.9	0.775	1737470	-0.998	0.126	-0.347	0.070	14.8	1.04	2	1	2	50.0	100.0
SV117	221903.5	3160088.6	110	47	1478.7	1.57	0.32	12.76	802.12	0.784	1658680	-0.556	0.126	-0.245	-0.831	20.1	1.04	5	2	5	40.0	100.0
SV118	222103.5	3160288.6	45	22	1569.2	1.56	0.35	12.63	843.81	0.775	1635540	0.663	0.0005	-0.168	-0.749	6.0	1.12	6	1	6	16.7	100.0
SV119	222203.5	3160688.6	141	41	1586.7	1.56	0.34	12.35	778.16	0.775	1770400	-0.976	0.126	-0.136	-0.218	19.8	1.05	5	3	5	60.0	100.0
SV120	222203.5	3160988.6	76	28	1661.4	1.49	0.36	12.21	776.24	0.783	1703560	-0.434	0.126	-0.151	0.901	16.6	1.12	4	1	4	25.0	100.0
SV121	221903.5	3159388.6	279	53	1378.2	1.56	0.34	13.43	743.15	0.769	1576600	0.965	0.126	-0.224	-0.264	6.1	1.04	3	1	3	33.3	100.0
SV122	222103.5	3159088.6	60	41	1318.2	1.49	0.34	13.57	774.95	0.755	1602420	-0.466	0.126	-0.133	0.885	25.1	1.13	5	2	5	40.0	100.0
SV123	222303.5	3158688.6	41	41	1207.6	1.47	0.32	14.25	746.52	0.773	1615670	-0.084	0.126	-0.051	0.996	2.7	1.00	4	1	4	25.0	100.0
SV124	222503.5	3157988.6	57	57	1182.8	1.46	0.33	14.34	733.11	0.737	1696940	-0.966	0.126	0.010	0.257	20.1	1.17	5	1	4	20.0	80.0
SV125	222103.5	3157688.6	44	41	1099.5	1.55	0.32	14.65	708.66	0.750	1677650	-0.988	0.126	-0.150	0.155	13.3	1.03	2	0	2	0.0	100.0
SV126	222103.5	3157988.6	70	53	1171.8	1.54	0.32	14.34	683.65	0.755	1687890	-0.984	0.126	-0.144	-0.181	12.2	1.03	3	0	1	0.0	33.3
SV127	221403.5	3158188.6	629	96	1164.6	1.65	0.32	14.35	736.12	0.768	1688490	-1.000	0.126	-0.409	0.012	12.2	1.01	12	1	8	8.3	66.7
SV128	221303.5	3158388.6	502	118	1166.6	1.59	0.31	14.36	693.71	0.774	1642650	-0.578	0.126	-0.445	-0.816	9.2	1.02	4	1	4	25.0	100.0
SV129	220503.5	3157088.6	1744	208	738.7	1.52	0.3	16.42	486.57	0.771	1512220	-0.250	0.126	-0.691	-0.968	17.9	1.10	16	4	9	25.0	56.3
SV130	219803.5	3159188.6	1523	162	789.1	1.51	0.3	16.06	534.09	0.775	1339040	0.186	0.126	-0.850	-0.983	29.6	1.21	16	2	8	12.5	50.0
SV131	219503.5	3161188.6	2005	204	757.2	1.53	0.31	16.14	542.13	0.779	1374710	0.203	0.126	-0.904	-0.979	25.6	1.17	16	3	8	18.8	50.0
SV132	219003.5	3162988.6	2923	351	673	1.65	0.32	16.54	531.11	0.776	1435320	-0.170	0.126	-0.920	-0.985	24.8	1.15	21	4	11	19.0	52.4
SV134	225303.5	3173188.6	229	229	811.9	1.44	0.37	15.84	792.5	0.701	1539570	-0.269	1.08	0.518	0.963	12.6	1.27	22	3	9	13.6	40.9
SV135	225503.5	3174188.6	195	195	702.4	1.44	0.37	16.33	816.42	0.699	1467580	0.019	1.08	0.538	1.000	14.0	1.22	26	4	13	15.4	50.0
SV136	231703.5	3185088.6	494	494	179.8	1.38	0.33	19.22	515.66	0.732	1171850	0.962	1.08	0.693	-0.274	22.7	1.21	26	5	15	19.2	57.7
SV137	232803.5	3184288.6	507	507	112.9	1.34	0.34	19.36	508.43	0.687	1361090	0.440	1.08	0.752	0.898	25.2	1.66	17	2	11	11.8	64.7
SV140	219203.5	3171388.6	2073	289	739	1.53	0.39	16.43	622.84	0.787	1503970	0.969	0.126	-0.732	-0.245	3.7	1.03	12	2	8	16.7	66.7
SV141	219903.5	3171088.6	1313	260	806	1.54	0.37	16.09	654.73	0.779	1480060	0.392	0.126	-0.606	-0.920	12.0	1.02	11	1	7	9.1	63.6
SV142	220203.5	3170888.6	1048	104	925.2	1.51	0.37	15.51	692.27	0.778	1426130	0.683	0.126	-0.538	-0.730	16.0	1.12	8	1	5	12.5	62.5
SV143	220503.5	3170588.6	882	148	979.1	1.54	0.36	15.22	689.86	0.776	1516120	0.698	0.126	-0.456	-0.716	7.8	1.04	6	0	4	0.0	66.7
SV144	220503.5	3170388.6	405	127	1011.2	1.6	0.36	15.14	734.48	0.773	1510930	0.625	0.126	-0.465	-0.780	10.0	1.05	4	0	3	0.0	75.0
SV145	222803.5	3180488.6	67	16	2085.1	1.48	0.39	10.07	956.89	0.809	1614670	-0.077	1.08	-0.148	-0.997	28.7	1.19	6	2	4	33.3	66.7
SV146	222803.5	3180288.6	170	26	2099.2	1.45	0.39	10.1	982.48	0.812	1650660	-0.007	1.08	-0.142	-1.000	23.9	1.11	11	5	10	45.5	90.9
SV147	222703.5	3179888.6	132	35	1981.4	1.49	0.39	10.44	985.86	0.793	1716300	-0.593	1.08	-0.155	-0.805	30.1	1.41	15	4	12	26.7	80.0
SV148	222403.5	3179788.6	139	24	1870.2	1.44	0.37	11.56	1065.92	0.785	1087890	0.894	0.78	-0.200	-0.448	39.3	2.23	15	6	12	40.0	80.0
SV149	222203.5	3179388.6	122	52	1847.3	1.4	0.37	11.55	1053.9	0.791	1165190	0.663	0.78	-0.181	-0.749	40.2	2.06	17	4	13	23.5	76.5
SV150	222203.5	3178988.6	178	33	1994.1	1.44	0.39	10.84	921.94	0.804	1624780	-0.103	0.78	-0.150	0.995	26.9	1.63	4	1	3	25.0	75.0
SV151	222003.5	3178588.6	178	33	2045	1.44	0.38	11.22	965.52	0.794	1647520	-0.327	1.08	-0.149	-0.945	31.5	1.24	10	1	6	10.0	60.0
SV152	222503.5	3177888.6	79	30	1986.9	1.48	0.4	10.46	904.5	0.800	1678930	-0.649	1.08	-0.045	-0.760	36.4	1.23	4	1	3	25.0	75.0
SV153	222903.5	3177288.6	69	27	1887.1	1.5	0.4	10.77	936.64	0.794	1679200	-0.191	1.08	0.021	-0.982	20.5	1.10	4	1	3	25.0	75.0
SV154	223203.5	3176688.6	34	31	1856.3	1.58	0.4	11.32	1062.91	0.775	1706940	-0.287	1.08	0.070	-0.958	18.3	1.19	3	0	2	0.0	66.7
SV155	223303.5	3176288.6	58	39	1748.1	1.5	0.39	11.5	1059.56	0.760	1739500	-0.940	1.08	0.060	-0.340	33.8	1.22	5	1	3	20.0	60.0
SV156	223503.5	3175988.6	78	39	1682.8	1.59	0.39	11.84	1019.34	0.762	1618940	0.120	1.08	0.067	-0.993	16.2	1.20	10	2	6	20.0	60.0
SV157	223603.5	3175188.6	45	31	1494.2	1.54	0.38	12.53	995.29	0.757	1690480	-0.820	1.08	0.008	-0.572	28.4	1.32	7	0	2	0.0	28.6
SV158	223603.5	3174988.6	29	26	1447.5	1.49	0.37	12.66	1075.42	0.760	1438150	-0.223	1.08	-0.006	-0.975	39.0	1.36	7	0	1	0.0	14.3
SV159	223703.5	3175088.6	45	34	1511.8	1.54	0.39	12.63	1024.56	0.742	1702190	-0.907	1.08	0.024	-0.421	4.0	1.28	14	3	5	21.4	35.7
SV160	223603.5	3174688.6	40	26	1395	1.5	0.37	13.07	958.89	0.753	1529230	-0.512	1.08	-0.025	-0.859	37.5	1.27	7	0	2	0.0	28.6
SV161	224003.5	3174788.6	52	36	1295.2	1.51	0.38	13.65	1008.63	0.729	1602690	-0.780	1.08	0.073	0.625	31.9	1.20	12	1	2	8.3	16.7
SV162	224103.5	3174788.6	84	84	1273.9	1.5	0.38	13.68	960.07	0.726	1649780	-0.812	1.08	0.099	0.584	25.7	1.32	14	1	2	7.1	14.3
SV163	224303.5	3174688.6	68	68	1187.7	1.5	0.37	14.28	1015.23	0.724	1581000	-0.876	1.08	0.149	0.482	36.9	1.33	16	2	5	12.5	31.3
SV164	224103.5	3174888.6	45	45	1297.3	1.46	0.38	13.62	982.64	0.726	1512230	-0.063	1.08	0.101	0.998	24.4	1.52	18	3	8	16.7	44.4
SV165	224503.5	3174688.6	43	43	1146.4	1.47	0.38	14.21	1022.92	0.718	1624720	-0.771	1.08	0.215	0.637	26.8	1.22	17	2	5	11.8	29.4
SV166	224703.5	3174588.6	130	130	1026.7	1.47	0.37	14.84	896.64	0.713	1586090	-0.937	1.08	0.282	0.349	34.1	1.27	15	2	5	13.3	33.3
SV167	224503.5	3174388.6	130	130	1043	1.46	0.38	14.93	865.18	0.719	1097470	0.759	1.08	0.203	0.651	35.0	1.33	16	1	3	6.3	18.8
SV168	224703.5	3174288.6	168	168	1010.2	1.47	0.37	15.02	894.4	0.715	1278610	0.505	1.08	0.272	0.863	30.1	1.21	14	0	1	0.0	7.1
SV169	224603.5	3173988.6	156	156	1001.2	1.49	0.38	15.18	868.8	0.714	1426140	0.274	1.08	0.250	0.962	21.1	1.32	18	0	4	0.0	22.2
SV170	224803.5	3173888.6	163	163	932.2	1.48	0.37	15.22	891.11	0.710	1477800	0.115	1.08	0.322	0.993	17.1	1.22	12	0	2	0.0	16.7
SV171	217903.5	3184588.6	287	32	2271.8	1.34	0.41	9.26	741.16	0.832	1640930	0.789	1.08	-0.084	-0.614	14.3	1.07	2	2	2	100.0	100.0
SV174	220603.5	3184888.6	18	18	2268.8	1.41	0.41	9.27	809.44	0.801	1859260	-0.806	1.08	0.151	0.592	9.4	1.04	7	4	6	57.1	85.7
