Plot	Longitude	Latitude	CR_CAN 	CR_LP	Elevation	INTRA_VAR	INTER_VAR	MAT	MAP	RSI	ASR	Easterness	Age 	Macro	Northerness	Slope	TCI	SR	nSIE	nAE	pSIE	pAE
SP387	221203.5	3163188.6	487	50	1385.2	1.54	0.32	13.23	809.24	0.790	1544700	0.132	0.126	-0.585	-0.991	19.6	1.11	3	1	3	33.3	100.0
SP388	221003.5	3162788.6	405	60	1301.5	1.58	0.31	13.67	770.09	0.790	1611820	-0.324	0.126	-0.642	-0.946	18.4	1.12	6	3	6	50.0	100.0
SP389	220803.5	3162488.6	571	69	1211.2	1.63	0.31	14.05	742.62	0.787	1601510	-0.240	0.126	-0.712	-0.971	14.3	1.08	7	3	7	42.9	100.0
SP390	220803.5	3163288.6	427	59	1242.2	1.67	0.32	13.83	769.15	0.784	1626460	-0.407	0.126	-0.718	-0.914	13.9	1.06	6	2	6	33.3	100.0
SP391	220503.5	3164288.6	585	17	1292	1.64	0.32	13.73	799.82	0.790	1620230	-0.196	0.126	-0.773	-0.981	13.1	1.05	5	1	4	20.0	80.0
SP392	220503.5	3164888.6	427	59	1290.2	1.57	0.32	13.66	760.44	0.791	1532230	0.187	0.126	-0.748	-0.982	18.6	1.12	8	1	6	12.5	75.0
SP393	220503.5	3165788.6	664	38	1248.3	1.57	0.33	13.82	794.29	0.788	1517150	0.314	0.126	-0.703	-0.949	17.2	1.09	9	1	4	11.1	44.4
SP394	220403.5	3166688.6	531	65	1191.3	1.56	0.34	14.31	739.14	0.786	1527970	-0.089	0.126	-0.661	-0.996	22.5	1.14	4	0	3	0.0	75.0
SP395	220703.5	3166688.6	427	59	1276.6	1.51	0.34	13.78	761.62	0.790	1581230	0.267	0.126	-0.562	-0.964	9.8	1.16	7	1	3	14.3	42.9
SP396	220903.5	3167688.6	405	60	1325.6	1.6	0.35	13.46	788.06	0.782	1540730	-0.139	0.126	-0.458	-0.990	25.0	1.14	4	1	3	25.0	75.0
SP397	221103.5	3168188.6	373	52	1344.5	1.51	0.35	13.47	805.24	0.787	1384150	0.578	0.126	-0.374	-0.816	24.9	1.06	7	3	6	42.9	85.7
SP398	221303.5	3168788.6	383	64	1330.4	1.52	0.36	13.59	821.18	0.783	1534680	0.495	0.126	-0.263	-0.869	14.3	1.03	10	3	8	30.0	80.0
SP399	229603.5	3187488.6	448	448	197.5	1.22	0.29	18.85	548.94	0.688	1284990	0.106	1.08	0.675	0.994	19.5	1.48	29	4	15	13.8	51.7
SP400	229903.5	3187688.6	507	507	147.6	1.29	0.29	19.1	502.86	0.690	1371740	0.239	1.08	0.683	0.971	6.5	1.50	32	4	17	12.5	53.1
SP401	229503.5	3187388.6	270	270	247	1.36	0.3	18.84	549.7	0.723	1428300	-0.352	1.08	0.673	0.936	10.2	1.38	31	6	14	19.4	45.2
SP402	229703.5	3187588.6	431	431	171.2	1.23	0.29	18.92	563.22	0.687	1388400	-0.586	1.08	0.679	0.810	11.9	1.47	18	2	7	11.1	38.9
SP403	225703.5	3192188.6	249	249	588.7	1.29	0.26	17.11	823.74	0.722	1448250	0.985	1.08	0.402	-0.174	7.1	1.10	15	4	6	26.7	40.0
SP404	225303.5	3192788.6	215	215	494.3	1.24	0.26	17.47	713.65	0.727	1369650	0.905	1.08	0.342	-0.426	13.2	1.16	10	1	4	10.0	40.0
SP405	225303.5	3192888.6	207	207	460.6	1.24	0.27	17.76	718.07	0.724	1261710	0.970	1.08	0.343	-0.242	20.0	1.17	14	2	6	14.3	42.9
SP406	225103.5	3193088.6	352	352	391	1.22	0.27	17.93	622.95	0.733	1302450	0.971	1.08	0.320	-0.240	16.5	1.18	14	2	6	14.3	42.9
SP408	224803.5	3193188.6	93	93	323.3	1.23	0.27	18.33	605.03	0.745	1344770	0.750	1.08	0.265	-0.661	14.4	1.06	13	2	7	15.4	53.8
SP409	224803.5	3193288.6	378	378	310.1	1.25	0.28	18.49	603.85	0.750	1272290	0.893	1.08	0.256	-0.451	18.6	1.38	13	2	8	15.4	61.5
SP410	221203.5	3191988.6	271	271	472.8	1.27	0.3	17.62	658.12	0.730	1289000	0.999	1.08	0.355	0.045	17.4	1.44	28	3	13	10.7	46.4
SP411	220703.5	3192188.6	156	156	477.6	1.25	0.31	17.7	595.94	0.731	1341250	0.953	1.08	0.389	-0.302	14.1	1.12	16	4	9	25.0	56.3
SP412	220603.5	3192288.6	215	215	471.6	1.28	0.31	17.86	640.06	0.723	1392500	0.854	1.08	0.394	0.521	11.2	1.34	15	3	9	20.0	60.0
SP413	220203.5	3192688.6	282	282	361	1.24	0.31	18.13	525.59	0.750	1296880	-0.345	0.78	0.422	-0.938	37.4	1.37	19	3	10	15.8	52.6
SP414	220103.5	3192488.6	207	207	161.3	1.19	0.32	18.52	482.77	0.753	970899	0.542	0.78	0.428	-0.841	24.5	1.89	19	4	13	21.1	68.4
SP415	220103.5	3192188.6	110	110	259.9	1.25	0.31	17.93	548.23	0.746	887825	0.874	0.78	0.420	-0.486	23.9	1.41	19	2	7	10.5	36.8
SP416	219903.5	3192788.6	232	232	78.3	1.19	0.34	19.19	383.18	0.763	1085060	-0.010	0.78	0.454	-1.000	30.6	1.27	26	5	15	19.2	57.7
SP417	219903.5	3193088.6	489	489	59.3	1.21	0.34	19.54	337.79	0.769	1125760	0.733	0.78	0.459	-0.681	23.8	1.26	22	3	14	13.6	63.6
SP418	220603.5	3193188.6	428	428	31.3	1.28	0.34	19.87	343.47	0.767	1324120	0.975	0.78	0.417	0.223	7.1	1.00	11	2	5	18.2	45.5
SP419	220503.5	3193188.6	428	428	26.8	1.27	0.34	19.84	351.33	0.772	1309500	0.950	0.78	0.418	-0.312	8.3	1.00	10	2	5	20.0	50.0
SP420	210303.5	3187788.6	428	121	707.1	1.35	0.3	16.6	515.63	0.767	1448110	0.858	1.08	-0.306	-0.514	9.7	1.18	14	1	4	7.1	28.6
SP421	210203.5	3188288.6	280	154	644.2	1.33	0.3	16.84	487.26	0.765	1377490	0.857	1.08	-0.297	-0.515	14.9	1.17	8	1	3	12.5	37.5
SP422	210303.5	3189388.6	477	211	493.6	1.32	0.3	17.69	409.1	0.766	1373030	0.964	1.08	-0.276	-0.266	12.4	1.07	18	2	9	11.1	50.0
SP423	210303.5	3190288.6	379	358	338.7	1.31	0.32	18.28	378.03	0.766	1325960	0.935	1.08	-0.293	0.355	14.3	1.46	19	5	15	26.3	78.9
SP424	210703.5	3190588.6	373	311	323.4	1.37	0.3	18.3	364.18	0.766	1399310	0.339	1.08	-0.306	-0.941	13.1	1.07	10	0	6	0.0	60.0
SP425	211103.5	3190588.6	379	358	390.2	1.37	0.34	18.16	409.8	0.758	1090160	0.889	1.08	-0.302	0.457	30.3	1.64	24	5	18	20.8	75.0
SP426	211203.5	3192388.6	174	174	214.6	1.22	0.32	18.68	320.93	0.768	1167310	0.840	1.08	-0.278	-0.543	25.6	1.56	14	4	8	28.6	57.1
SP428	210703.5	3192288.6	202	202	98	1.3	0.33	19.4	297.02	0.780	1255550	0.943	1.08	-0.301	-0.334	15.1	1.36	7	2	2	28.6	28.6
SP429	211003.5	3192188.6	327	321	167.1	1.4	0.32	18.98	339.94	0.767	1367920	0.160	1.08	-0.300	-0.987	15.6	1.07	12	4	8	33.3	66.7
SP430	212903.5	3192088.6	211	211	499.8	1.26	0.32	17.6	495.21	0.758	1267880	0.998	1.08	-0.181	0.058	19.3	1.06	13	1	4	7.7	30.8
SP431	213603.5	3192188.6	86	86	600.3	1.27	0.31	17.18	523.03	0.755	1286290	0.999	1.08	-0.103	0.051	19.3	1.20	25	3	12	12.0	48.0
SP432	213603.5	3192288.6	86	86	553.9	1.3	0.31	17.2	544.83	0.757	1377200	0.966	1.08	-0.098	-0.257	11.3	1.11	21	2	11	9.5	52.4
SP433	213803.5	3192688.6	67	67	533.1	1.28	0.31	17.37	556.05	0.756	1377380	0.913	1.08	-0.051	-0.408	12.9	1.04	12	2	3	16.7	25.0
SP434	213503.5	3192788.6	91	91	498.8	1.29	0.31	17.58	498.26	0.758	1405590	0.817	1.08	-0.080	-0.576	10.9	1.05	15	2	7	13.3	46.7
SP435	213103.5	3193388.6	192	192	348.9	1.27	0.32	18.19	417.46	0.762	1371670	0.773	1.08	-0.143	-0.635	12.3	1.04	11	1	4	9.1	36.4
SP436	213803.5	3193688.6	232	232	322	1.27	0.34	18.48	439.54	0.753	1325950	1.000	1.08	0.004	0.003	13.7	1.07	10	1	4	10.0	40.0
SP437	213903.5	3193888.6	232	232	263	1.28	0.34	18.69	388.38	0.755	1338280	0.930	1.08	0.044	0.368	12.4	1.18	13	4	8	30.8	61.5
SP438	213903.5	3193788.6	232	232	284.3	1.29	0.34	18.66	417.41	0.756	1280030	0.994	1.08	0.036	0.113	16.6	1.13	16	2	10	12.5	62.5
SP439	212503.5	3191788.6	91	91	517.5	1.31	0.3	17.48	515.93	0.761	1425020	0.714	1.08	-0.224	-0.700	10.0	1.09	14	1	6	7.1	42.9
SP440	212903.5	3191588.6	117	117	631.7	1.3	0.3	16.77	597.57	0.757	1391140	0.426	1.08	-0.193	-0.905	18.5	1.06	11	2	7	18.2	63.6
SP441	213303.5	3191288.6	82	82	735.3	1.33	0.3	16.41	630.9	0.759	1491980	0.571	1.08	-0.180	-0.821	7.7	1.11	6	0	2	0.0	33.3
SP442	215103.5	3191488.6	31	31	952	1.3	0.31	15.6	778.26	0.737	1507190	0.408	1.08	0.135	0.913	11.7	1.10	14	2	2	14.3	14.3
SP443	215303.5	3190888.6	66	66	931.9	1.34	0.31	15.52	748.96	0.751	1579250	-0.392	1.08	0.161	-0.920	3.1	1.01	14	2	4	14.3	28.6
SP444	215903.5	3190988.6	66	66	943.1	1.33	0.31	15.52	793.88	0.748	1535690	0.686	1.08	0.236	-0.728	5.6	1.01	13	2	5	15.4	38.5
SP445	215603.5	3191688.6	129	129	879.8	1.28	0.31	15.82	716.59	0.746	1465420	0.610	1.08	0.224	-0.792	12.4	1.12	12	1	2	8.3	16.7
SP446	215903.5	3192288.6	149	149	810.2	1.29	0.32	16.05	739.32	0.719	1466710	0.987	1.08	0.292	-0.163	8.6	1.05	16	4	6	25.0	37.5
SP447	216303.5	3192688.6	161	161	754.5	1.28	0.31	16.47	704.76	0.739	1329480	0.999	1.08	0.341	0.037	18.1	1.10	17	4	6	23.5	35.3
SP448	216103.5	3193188.6	185	185	611.3	1.27	0.32	16.97	600.95	0.731	1356220	1.000	1.08	0.358	0.021	14.6	1.12	18	5	10	27.8	55.6
SP449	215903.5	3193488.6	369	369	539.6	1.24	0.32	17.58	561.91	0.747	1250910	0.880	1.08	0.336	-0.474	22.4	1.14	11	1	2	9.1	18.2
SP450	216303.5	3193688.6	215	215	453.7	1.25	0.33	17.77	512.68	0.715	1317560	0.576	1.08	0.374	0.817	19.5	1.30	15	4	9	26.7	60.0
SP451	216303.5	3194088.6	434	434	345	1.25	0.34	18.22	488.89	0.732	1200970	0.612	1.08	0.363	0.791	26.1	1.07	10	3	5	30.0	50.0
SP452	216803.5	3194188.6	507	507	253.7	1.26	0.34	18.76	450.14	0.731	1383820	0.605	1.08	0.414	0.797	9.9	1.08	11	2	7	18.2	63.6
SP453	216103.5	3194388.6	378	378	319.4	1.25	0.34	18.43	437.04	0.739	1267090	0.959	1.08	0.344	0.282	18.4	1.25	9	2	5	22.2	55.6
SP454	215903.5	3194588.6	165	165	271.2	1.29	0.34	18.69	434.79	0.724	1447180	-0.249	1.08	0.338	-0.969	12.4	1.27	12	3	8	25.0	66.7
SP455	215803.5	3194788.6	378	378	294.4	1.27	0.34	18.54	451.45	0.739	1447000	-0.174	1.08	0.337	0.985	12.9	1.27	12	4	9	33.3	75.0
SP456	215803.5	3195088.6	302	302	208.4	1.26	0.35	18.9	409.04	0.742	1118840	0.913	1.08	0.339	0.408	27.7	1.14	12	3	7	25.0	58.3
SP457	215603.5	3195188.6	302	302	100.6	1.22	0.35	19.3	327.44	0.769	1159360	0.786	1.08	0.326	-0.618	25.2	1.02	8	1	3	12.5	37.5
SP458	215503.5	3195188.6	174	174	78.2	1.24	0.36	19.54	311.35	0.772	1275280	0.854	1.08	0.321	-0.520	13.0	1.31	10	2	5	20.0	50.0
SP460	215403.5	3195188.6	197	197	96.4	1.26	0.36	19.49	346.57	0.756	1370290	0.595	1.08	0.318	0.804	8.3	1.35	15	3	8	20.0	53.3
SP461	220103.5	3189788.6	95	95	977.1	1.29	0.3	15.23	954.64	0.731	1491590	0.899	1.08	0.325	-0.438	8.9	1.08	13	3	5	23.1	38.5
SP462	220603.5	3189188.6	127	127	1082.8	1.31	0.3	14.81	1031.49	0.736	1494360	0.986	1.08	0.315	-0.168	9.4	1.12	13	2	4	15.4	30.8
SP463	220803.5	3189088.6	73	73	1097.5	1.3	0.3	14.68	1018.93	0.733	1483780	0.988	1.08	0.327	-0.153	10.5	1.20	20	4	9	20.0	45.0
SP464	221003.5	3188688.6	96	96	1080.7	1.3	0.3	14.7	952.24	0.724	1432840	0.218	0.78	0.319	0.976	12.7	1.27	17	3	7	17.6	41.2
SP465	221303.5	3188888.6	107	107	1031.3	1.25	0.3	14.99	998.29	0.736	1024430	0.734	0.78	0.303	-0.679	37.8	1.49	20	4	12	20.0	60.0
SP466	221503.5	3189188.6	127	127	996	1.23	0.29	14.85	931.84	0.736	1192130	0.546	0.78	0.303	-0.838	33.7	1.44	18	4	10	22.2	55.6
SP467	221903.5	3189488.6	119	119	1068.6	1.27	0.29	14.89	975.42	0.734	1414470	1.000	1.08	0.302	0.005	15.4	1.29	15	2	5	13.3	33.3
SP468	222503.5	3189888.6	136	136	1011.8	1.27	0.28	15.16	1019.13	0.731	1458260	0.973	1.08	0.337	-0.232	11.9	1.18	16	3	5	18.8	31.3
SP469	222803.5	3190188.6	151	151	913.9	1.28	0.28	15.67	970.26	0.716	1323070	0.940	1.08	0.337	0.342	20.4	1.26	13	3	5	23.1	38.5
SP470	223203.5	3190288.6	152	152	905.6	1.28	0.28	15.75	921	0.719	1336160	0.957	1.08	0.309	0.291	19.2	1.24	13	1	4	7.7	30.8
SV001	221203.5	3177888.6	80	40	1271	1.57	0.37	13.9	918.91	0.746	1636630	-0.994	4	-0.185	-0.111	21.9	1.16	15	6	12	40.0	80.0
SV002	221503.5	3177688.6	279	53	1218.6	1.52	0.36	14.01	906.59	0.751	1426640	-0.528	4	-0.153	-0.849	36.4	2.49	21	5	14	23.8	66.7
SV003	221603.5	3177588.6	279	53	1241.4	1.54	0.37	13.92	946.66	0.745	1527430	-0.884	0.78	-0.146	-0.468	39.3	2.08	14	4	9	28.6	64.3
SV004	221803.5	3177288.6	70	53	1162.5	1.52	0.36	14.37	950.8	0.750	1538390	-0.875	0.78	-0.136	-0.485	34.2	2.10	5	1	3	20.0	60.0
SV005	222003.5	3176888.6	70	53	1134.5	1.52	0.36	14.51	918.1	0.750	1386220	-0.187	4	-0.130	-0.982	30.7	1.27	6	1	4	16.7	66.7
SV006	222103.5	3176088.6	414	114	1035.8	1.61	0.37	14.87	829.95	0.743	1621320	-0.927	1.08	-0.231	-0.376	14.7	1.18	5	1	2	20.0	40.0
SV007	222303.5	3175688.6	263	92	1011.3	1.6	0.36	14.91	906.08	0.745	1583460	-0.543	0.78	-0.240	-0.840	16.4	1.17	16	4	9	25.0	56.3
SV008	222603.5	3175088.6	101	73	971.9	1.61	0.36	15.01	882.85	0.744	1535630	-0.394	0.78	-0.233	-0.919	21.1	1.38	11	2	5	18.2	45.5
SV009	222903.5	3174488.6	306	95	1031.6	1.52	0.36	14.82	908.27	0.758	1529720	0.131	0.78	-0.180	-0.991	12.1	1.15	4	0	1	0.0	25.0
