Sex	Age	HI_Tool	Z_Latency	id	Colony	rear
2	9	-0.28	-0.0021	10254	1	1
2	11	0.2941	-0.28809	12370	2	1
2	13	0.04	-0.41321	12190	2	1
2	15	0.56	-0.72673	12080	2	2
1	25	0.039	-0.20675	11300	2	1
2	28	1	-0.97525	11220	2	1
1	16	0.2549	0.34914	12020	2	2
1	15	0.3226	-0.81541	12060	2	2
2	9	-0.6154	-0.16778	12410	2	1
2	34	-0.64	-0.23734	10880	2	1
2	30	0.11	-0.09281	11020	2	1
1	14	0.04	0.40096	5951	2	1
2	44	0.1373	-0.92157	10520	2	1
2	21	0.16	-0.42851	11490	2	1
2	22	-0.84	1.85022	11410	2	2
2	15	-0.7037	-0.60254	12030	2	2
1	20	-0.8214	-0.40884	11550	2	2
1	23	-0.7895	3.7444	11360	2	1
2	19	-0.44	-1.17789	11910	2	1
2	49	0.88	-0.19146	10280	2	3
2	11	-0.3448	-0.73939	12390	2	1
2	30	0.3898	1.93077	11060	2	1
2	26	0.077	-0.46865	11240	2	1
2	17	0.273	0.03412	11900	2	1
2	18	-0.24	-0.25263	11730	2	1
1	29	-0.4483	1.15912	11120	2	2
2	18	0.32	-0.94849	11960	2	1
1	13	-0.8214	2.46893	12210	2	2
1	17	-0.0968	0.99453	11940	2	2
2	15	-0.2143	-0.73656	12070	2	2
2	18	-0.4182	-0.23977	11790	2	1
1	16	0.6727	-0.03818	11950	2	2
2	33	-0.389	-0.27557	10910	2	3
2	15	0.8571	-0.40338	12090	2	2
2	14	0.1818	-0.58098	12130	2	2
2	12	0.04	-0.76879	12350	2	1
2	39	-0.8519	0.3179	10640	2	2
2	14	0.5686	-0.63295	12140	2	2
1	18	-0.28	0.11441	11740	2	2
1	24	0.64	-0.62732	11370	2	2
2	28	0.8621	-0.88441	11250	2	1
2	38	-0.6	0.29411	10740	2	2
2	30	-0.32	-0.64644	11040	2	2
2	11	0.6875	5.07189	12380	2	1
1	19	0.24	-0.46674	11640	2	2
2	14	-0.3585	-0.72291	12100	2	1
1	13	-0.4182	0.62918	12180	2	1
1	27	-0.2	-0.04513	11260	2	2
2	11	-0.015	-0.21631	12430	2	1
2	12	-0.96	-0.61585	12340	2	2
1	20	-0.12	-0.08823	11560	2	2
2	19	0.3115	-0.15567	11630	2	2
2	18	0.44	-0.21057	11710	2	2
2	11	0.2766	-0.02331	12360	2	1
1	20	-0.5385	-0.99495	11690	2	2
2	30	-0.434	1.34749	11000	2	2
2	36	-0.4615	-0.97657	10750	2	3
2	37	-0.6538	-0.71188	10730	2	3
2	12	0.9143	-0.50716	12330	2	1
1	13	-0.76	-0.17999	12220	2	2
1	17	0.8361	1.02895	11930	2	2
1	24	-0.68	1.74317	11290	2	1
2	44	0.12	0.06088	10510	2	3
2	40	0.7879	0.42121	10900	2	2
2	49	-0.88	-0.5088	10290	2	3
2	24	-0.0769	0.57116	11350	2	1
2	25	-0.8276	-0.87452	11280	2	2
2	15	-0.96	-0.81467	12240	2	1
1	13	0	0.40499	12250	2	2
2	40	0.12	-0.32145	10660	2	3
1	5	-0.12	0.0953	12440	2	1
2	21	0.4118	-0.48676	11660	2	1
2	15	-0.6765	0.69118	12050	2	2
2	21	-0.564	-0.83761	11650	2	1
1	37	-1	-0.16469	10700	2	1
2	18	-0.2	-0.29469	11770	2	1
2	29	0.5	0.64836	11150	2	2
2	9	-0.1923	0.2697	12420	2	1
2	27	-0.6522	-0.48464	11180	2	2
1	19	0.36	-0.00794	11610	2	2
2	21	0.0877	1.14853	11470	2	2
1	19	-0.7183	-0.81714	11590	2	1
1	13	0.156	-0.60056	12270	2	1
2	21	0.12	0.34764	11480	2	1
2	13	0.7091	1.40775	12260	2	1
2	39	-0.5	-0.01749	10620	2	3
2	13	0.4615	-0.96554	12400	2	1
1	17	0.6296	0.58695	11890	2	1
2	15	0.3333	0.25662	12040	2	1
2	32	0.0164	-0.63503	10930	2	2
1	19	-0.6667	-0.34411	11580	2	2
